username,post_id,timestamp,likes,comments,followers,engagement_rate,sponsored,is_video,caption,img_file,tier,caption_clean,sentiment_score,caption_length,hashtag_count,emoji_count,has_cta
natalie.odell,1598251475476944632,1504746444,26365,264,436961.0,0.0609413654765528,0,0,Better times are coming 🙏🏽 Shot by : @nasra_torero,info\natalie.odell-1598251475476944632.jpg,macro,Better times are coming 🙏🏽 Shot by :,0.0,50,0,2,0
dianisdelca,1402282014011132380,1481385064,24,0,2981.0,0.008050989600805,0,0,"""A los hombres y mujeres se les ha encomendado la tarea de moldear su vida, haciendo de ella una obra maestra"" Juan Pablo II #manualidades #diy #howto #handmade #relax #mandalas #howtopaint 
#craft #crafty #decor #dianisdelca #zentangleart #sharpie #stabilo #howtopaint #mentacoqueta #mandalapassion #zendoodle #dailyart #zentart #mandalalove #mandalaart #mandalaflower #arttherapy @mandalasparaelalma",info\dianisdelca-1402282014011132380.jpg,micro,"""A los hombres y mujeres se les ha encomendado la tarea de moldear su vida, haciendo de ella una obra maestra"" Juan Pablo II manualidades diy howto handmade relax mandalas howtopaint craft crafty decor dianisdelca zentangleart sharpie stabilo howtopaint mentacoqueta mandalapassion zendoodle dailyart zentart mandalalove mandalaart mandalaflower arttherapy",0.0,401,24,0,0
worldofzach,1725141156693361937,1519872873,284,10,5412.0,0.0543237250554323,0,0,"*buys cheap synthetic wig that looks cornbread yellow ( ya know, like the ones they wear on love and hip hop) & spray paints it rose gold for $9 *VIDEO ON HOW I DID CREATED THIS ROSE GOLD DREAM IS NOW LIVE ON MY CHANNEL, GO WATCHHH[link in my bio]* 😏✨💕 @lorealmakeup Color-Ista Hair Color Spray “RoseGold” & on the Lips: Colour Richie Shine Lipstick- “Glossy Fawn” #lorealcolorista #lorealpro #lorealprofessionnel #lorealprofessional edit; technical difficulties had to take the video down😒 will re upload soon😩😩",info\worldofzach-1725141156693361937.jpg,micro,"*buys cheap synthetic wig that looks cornbread yellow ( ya know, like the ones they wear on love and hip hop) & spray paints it rose gold for $9 *VIDEO ON HOW I DID CREATED THIS ROSE GOLD DREAM IS NOW LIVE ON MY CHANNEL, GO WATCHHH[link in my bio]* 😏✨💕 Color-Ista Hair Color Spray RoseGold & on the Lips: Colour Richie Shine Lipstick- Glossy Fawn lorealcolorista lorealpro lorealprofessionnel lorealprofessional edit; technical difficulties had to take the video down😒 will re upload soon😩😩",0.7184,512,4,6,0
minimualist,1988460638187516961,1551263001,631,5,31196.0,0.0203872291319399,0,0,"@cliniqueitalia came out with a made-to-measure skincare solution! You can build your own perfect cream from ingredients which fit to your skin type. More about it on my blog! LINK IN BIO ✌🏼♥️ #prodottooffertodacliniqueitalia
.
#clinique #cliniqueid #sharemyclinique #skincaretips #skincareproducts #skincarenews #flatlayinspo",info\minimualist-1988460638187516961.jpg,mid,came out with a made-to-measure skincare solution! You can build your own perfect cream from ingredients which fit to your skin type. More about it on my blog! LINK IN BIO ✌🏼♥️ prodottooffertodacliniqueitalia . clinique cliniqueid sharemyclinique skincaretips skincareproducts skincarenews flatlayinspo,0.658,326,8,4,1
keishacharmaine,1660272484745037575,1512139925,2408,63,48748.0,0.0506892590465249,0,0,"Honestly, I don’t like styling my hair because I’m tender headed. Catch me straight or curly. I was feeling this low ponytail yesterday 💁🏾‍♀️Bee tee dubz, have you seen my latest YouTube video? Get my tips on drying your locs after a wash. Be sure to subscribe to my channel and get notifications when I upload every week 😁 www.youtube.com/keishacharmaine",info\keishacharmaine-1660272484745037575.jpg,mid,"Honestly, I dont like styling my hair because Im tender headed. Catch me straight or curly. I was feeling this low ponytail yesterday 💁🏾♀️Bee tee dubz, have you seen my latest YouTube video? Get my tips on drying your locs after a wash. Be sure to subscribe to my channel and get notifications when I upload every week 😁",0.25,355,0,5,0
fefakuniyoshi,1496451005918154937,1492610882,169,7,8131.0,0.021645554052392,0,0,#kolombo @chineselaundryclub 🉐🔙,info\fefakuniyoshi-1496451005918154937.jpg,micro,,0.0,31,1,1,0
thepinkrook,1980765579249986749,1550345679,697,13,14533.0,0.0488543315213651,0,0,"Snowy Polish barn! 🧡
Kumkowa stodoła jest najlepsza! 🥰
#płoniestodoła #dzieckozewsi
#thepinkrook  #fashion #fashionista #instafashion #whiteshirt #fashionblogger #fashionable #fashionblog #streetfashion #fashiondiaries #FashionAddict #style  #instastyle #fashionstyle #styleblogger  #mystyle  #ootd #ootdshare 
#look #lookbook #lookoftheday #casualchic #gentlewoman #folk #rajcza #dress #vintagelover",info\thepinkrook-1980765579249986749.jpg,micro,Snowy Polish barn! 🧡 Kumkowa stodoła jest najlepsza! 🥰 płoniestodoła dzieckozewsi thepinkrook fashion fashionista instafashion whiteshirt fashionblogger fashionable fashionblog streetfashion fashiondiaries FashionAddict style instastyle fashionstyle styleblogger mystyle ootd ootdshare look lookbook lookoftheday casualchic gentlewoman folk rajcza dress vintagelover,0.0,400,29,2,0
teteclementino,1956942075194963497,1547505696,25903,54,930504.0,0.0278956350536913,0,0,"Se amar mais, explode! ❤️ Parabéns pro meu irmão de alma, meu confidente, meu melhor amigo! Parabéns por ser essa pessoa incrível e que palavra nenhuma é capaz de definir! ✨ BRILHA! Que esse novo ciclo seja pura luz! 🙏🏻 @estevaoandrade feliz aniversário!",info\teteclementino-1956942075194963497.jpg,macro,"Se amar mais, explode! ❤️ Parabéns pro meu irmão de alma, meu confidente, meu melhor amigo! Parabéns por ser essa pessoa incrível e que palavra nenhuma é capaz de definir! ✨ BRILHA! Que esse novo ciclo seja pura luz! 🙏🏻 feliz aniversário!",0.0,254,0,5,0
danagagliotti,1637346683145614856,1509406956,347,12,18080.0,0.0198561946902654,0,0,Before it got too cold to only wear a t-shirt in NY. What is everyone favorite season? Mine is fall but I feel like it’s always so short 😭 where can I live that stays fall year round? 🎃,info\danagagliotti-1637346683145614856.jpg,micro,Before it got too cold to only wear a t-shirt in NY. What is everyone favorite season? Mine is fall but I feel like its always so short 😭 where can I live that stays fall year round? 🎃,0.6705,185,0,2,0
alanaahewitt,1600331457179284034,1504994397,835,20,9346.0,0.0914829873742777,0,0,"I usually don't get too personal on my page but today is an exception, today we walked for Suicide Awareness in honour of you big bro 👼🏻💙 Tomorrow is also Suicide Prevention Day, there's so much wrong with the Mental Health System & we won't stop fighting until something changes!! I love & miss you so much Sean 💙",info\alanaahewitt-1600331457179284034.jpg,micro,"I usually don't get too personal on my page but today is an exception, today we walked for Suicide Awareness in honour of you big bro 👼🏻💙 Tomorrow is also Suicide Prevention Day, there's so much wrong with the Mental Health System & we won't stop fighting until something changes!! I love & miss you so much Sean 💙",0.1739,314,0,4,0
