post_id,username,timestamp,likes,comments,followers,engagement_rate,sponsored,is_video,caption,tier,img_file,json_meta_name,primary_image_basename,local_image_filename,resolved_image_path,image_readable,brightness,colorfulness,face_present,face_count,laplacian_variance,edge_density
1263981333251435969,dailyfashiiion,1464898338,231,2,24154,0.009646435,0,0,do you like @madisonbeer ?💗🎶 #imadginer #dailyfashiiion #ad,mid,info\dailyfashiiion-1263981333251435969.jpg,1263981333251435969.info,1263981333251435969.jpg,dailyfashiiion-1263981333251435969.jpg,D:\social media dataset\beauty_images_only\image\dailyfashiiion-1263981333251435969.jpg,TRUE,0.6491512656211853,21.40735626220703,1,1,851.1384123,851.1384123
1264742939082678613,beamotta,1464989128,309,5,10863,0.028905459,0,0,"Cuidado!
Não análise demais o que sente.
Apenas sinta!
Autopsiais sempre estão presentes aonde não existe vida. 
_
#ZackMagiezi #frasedodia #EnsaioExterno #modelando 📷 #leolimaphotography ✨
#NPG #NormalPraGente #NormalPraGenteLifeStyle  #noixnãoémodelomasfazcadapose 🙄😂🙈 #contagemregressivaparaproximoensaio 🗓🙌🏻",micro,info\beamotta-1264742939082678613.jpg,1264742939082678613.info,1264742939082678613.jpg,beamotta-1264742939082678613.jpg,D:\social media dataset\beauty_images_only\image\beamotta-1264742939082678613.jpg,TRUE,0.6895885467529297,55.89535140991211,0,0,2541.1527617572247,2541.1527617572247
1265368534910567041,trinaduhra,1465063705,332,11,14240,0.024087079,0,0,"A Natural Bridal Makeup Tutorial is up on my channel! Anddd you don't have to be getting married to rock this, it's a look you can wear to any special occasion too! 💋",micro,info\trinaduhra-1265368534910567041.jpg,1265368534910567041.info,1265368534910567041.jpg,trinaduhra-1265368534910567041.jpg,D:\social media dataset\beauty_images_only\image\trinaduhra-1265368534910567041.jpg,TRUE,0.6966226696968079,45.657447814941406,1,1,1158.9141612609385,1158.9141612609385
1266552750823395331,mariandeassis,1465204875,16,0,23870,0.000670297,0,0,Bom dia #instafrase #durex #mondaymorning #bomdia #coffee,mid,info\mariandeassis-1266552750823395331.jpg,1266552750823395331.info,1266552750823395331.jpg,mariandeassis-1266552750823395331.jpg,D:\social media dataset\beauty_images_only\image\mariandeassis-1266552750823395331.jpg,TRUE,0.8551204800605774,14.73196792602539,0,0,3498.5892606740817,3498.5892606740817
1266730320724887471,vip_imda,1465226043,38,2,8457,0.00472981,0,0,"진짜 맛있었던 쌀국수 !!
지금까지 먹어봤던것 중에 2위 드림👍🏻 #신촌맛집 #웨이팅 #30분 #foodie #food #follower #팔로워 #먹스타그램 #먹고싶은날 #미분당 #쌀국수맛집 #쌀국수 #인친",micro,info\vip_imda-1266730320724887471.jpg,1266730320724887471.info,1266730320724887471.jpg,vip_imda-1266730320724887471.jpg,D:\social media dataset\beauty_images_only\image\vip_imda-1266730320724887471.jpg,TRUE,0.57998234,54.58725738525391,0,0,1287.6860888293013,1287.6860888293013
1266815003439960682,katesbeautystation,1465236138,175,9,16454,0.011182691,0,0,💗🌞🌺,micro,info\katesbeautystation-1266815003439960682.jpg,1266815003439960682.info,1266815003439960682.jpg,katesbeautystation-1266815003439960682.jpg,D:\social media dataset\beauty_images_only\image\katesbeautystation-1266815003439960682.jpg,TRUE,0.9216444492340088,87.46504211425781,0,0,1130.1298600286243,1130.1298600286243
1266870086644659705,nabilahhmakeup,1465242704,38,1,6191,0.006299467,0,0,Highlight + tan poppin today! #nofilter #noedit #selfie #thatglowtho #contouronpoint #golden #makeup #slave2beauty #beauty #skincare #makeupaddict #nars #dior #mac #mua #lotd💄 #hudabeautylashes,micro,info\nabilahhmakeup-1266870086644659705.jpg,1266870086644659705.info,1266870086644659705.jpg,nabilahhmakeup-1266870086644659705.jpg,D:\social media dataset\beauty_images_only\image\nabilahhmakeup-1266870086644659705.jpg,TRUE,0.4090076088905334,38.198360443115234,1,2,484.87060112345046,484.87060112345046
1267661365955866932,pancake_pow,1465337032,273,5,13360,0.020808383,0,0,#esports #videogames #mermaidhair #latina,micro,info\pancake_pow-1267661365955866932.jpg,1267661365955866932.info,1267661365955866932.jpg,pancake_pow-1267661365955866932.jpg,D:\social media dataset\beauty_images_only\image\pancake_pow-1267661365955866932.jpg,TRUE,0.5477564930915833,72.40763854980469,1,1,5051.299630651474,5051.299630651474
1267682470014412246,rosegold_beautyx,1465339548,289,5,63759,0.004611114,0,0,Watch my latests snaps to see some HUGE updates on both my instagram and youtube accounts. I love you guys from the bottom of my heart. Thank you for all your support. But from this moment on.. Rosegold_beautyx is out for good ✌🏻️ #rosegoldbeauty #beyourself,mid,info\rosegold_beautyx-1267682470014412246.jpg,1267682470014412246.info,1267682470014412246.jpg,rosegold_beautyx-1267682470014412246.jpg,D:\social media dataset\beauty_images_only\image\rosegold_beautyx-1267682470014412246.jpg,TRUE,0.2702090442180633,91.81555938720705,0,0,3677.690490722656,3677.690490722656
1267774147708566586,tallykat3,1465350477,300,1,86991,0.003460128,0,0,"I will miss you guys so much. You have all changed my life so much, I can't thank you enough for being a part of my life. Love you guys so much ❤💕❤",mid,info\tallykat3-1267774147708566586.jpg,1267774147708566586.info,1267774147708566586.jpg,tallykat3-1267774147708566586.jpg,D:\social media dataset\beauty_images_only\image\tallykat3-1267774147708566586.jpg,TRUE,0.353379488,41.14528274536133,0,0,897.2337501531001,897.2337501531001
